class,tweet
neither,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
offensive_language,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
offensive_language,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
offensive_language,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
offensive_language,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
offensive_language,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
offensive_language,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
offensive_language,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
offensive_language,""" &amp; you might not get ya bitch back &amp; thats that """
offensive_language,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
offensive_language,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
offensive_language,""" Murda Gang bitch its Gang Land """
offensive_language,""" So hoes that smoke are losers ? "" yea ... go on IG"
offensive_language,""" bad bitches is the only thing that i like """
offensive_language,""" bitch get up off me """
offensive_language,""" bitch nigga miss me with it """
offensive_language,""" bitch plz whatever """
offensive_language,""" bitch who do you love """
offensive_language,""" bitches get cut off everyday B """
offensive_language,""" black bottle &amp; a bad bitch """
offensive_language,""" broke bitch cant tell me nothing """
offensive_language,""" cancel that bitch like Nino """
offensive_language,""" cant you see these hoes wont change """
offensive_language,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
offensive_language,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
offensive_language,""" her pussy lips like Heaven doors "" &#128524;"
offensive_language,""" hoe what its hitting for """
offensive_language,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
offensive_language,""" i need a trippy bitch who fuck on Hennessy """
offensive_language,""" i spend my money how i want bitch its my business """
offensive_language,""" i txt my old bitch my new bitch pussy wetter """
offensive_language,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
offensive_language,""" if you aint bout that Murder Game pussy nigga shut up """
offensive_language,""" if you're toes ain't done you pussy stinks """
offensive_language,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
offensive_language,""" is that ya bitch """
offensive_language,""" it aint nothing to cut a bitch off """
offensive_language,""" jus meet son now he ya mane ass bitches "" #Shots"
offensive_language,""" lames crying over hoes thats tears of a clown """
offensive_language,""" like Snoop said in 94 we dont love these hoes """
neither,""" momma said no pussy cats inside my doghouse """
offensive_language,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
offensive_language,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
offensive_language,""" pimps up pimps up hoes down "" Future voice"
offensive_language,""" post a picture of that pussy get 200 likes """
offensive_language,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
offensive_language,""" quick piece of pussy call it a drive by """
offensive_language,""" running round here like some brand new pussy thats bout to get fucked """
offensive_language,""" these bitches even worst they'll send them guys for you """
offensive_language,""" these hoes like niggas that spend money not talk bout it """
offensive_language,""" we dont trust these niggas all these bitches """
offensive_language,""" yall niggas b cuffing hoes cause yall aint never have bitches """
offensive_language,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
offensive_language,""" young Pill Chamberlain these bitches love my music """
offensive_language,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
offensive_language,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
offensive_language,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it"""
offensive_language,"""&amp; he's gone always be a hoe"""
offensive_language,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
offensive_language,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
offensive_language,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
offensive_language,"""@A7XDemery: I'm a fucking fag they said"""
offensive_language,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
neither,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
offensive_language,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
offensive_language,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
neither,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
neither,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
offensive_language,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
offensive_language,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
neither,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
offensive_language,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
offensive_language,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
offensive_language,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
offensive_language,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
neither,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
offensive_language,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
offensive_language,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
offensive_language,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
offensive_language,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
offensive_language,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
offensive_language,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
offensive_language,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
offensive_language,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
offensive_language,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
hate_speech,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
offensive_language,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
offensive_language,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
offensive_language,"""@CASHandBOOBIES: I been kidnapped yo bitch"""
hate_speech,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
offensive_language,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo"
offensive_language,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
offensive_language,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
offensive_language,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
offensive_language,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
offensive_language,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
offensive_language,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
offensive_language,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
offensive_language,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
